step	global-lle	local-lle	lle-ratio
0	+3.1048732285169587e+00	+3.1048732285169587e+00	+0.0000000000000000e+00
11	-4.9704130632389720e-01	+1.1087639656723924e-01	+1.2158354057822729e+00
14	-1.1601351279455798e+00	-2.8637265392426325e-01	+1.7475249480426331e+00
32	-4.4736303259621817e+00	-1.3544913257964892e+00	+6.2382780003313849e+00
0	+1.8282155728347180e+00	+1.8282155728347180e+00	+0.0000000000000000e+00
0	+3.0952602425549109e+00	+3.0952602425549109e+00	+0.0000000000000000e+00
0	+3.0709899586377718e+00	+3.0709899586377718e+00	+0.0000000000000000e+00
35	-5.0689060029101238e+00	-1.5628328647409162e+00	+7.0121462763384148e+00
5	+6.1878850796288232e-01	+7.5760684352731289e-01	+2.7763667112886115e-01
0	+3.0697272982918866e+00	+3.0697272982918866e+00	+0.0000000000000000e+00
3	+8.4827123227984025e-01	+9.2739421281213108e-01	+1.5824596106458166e-01
44	-6.5382844385272261e+00	-1.7302274277661538e+00	+9.6161140215221437e+00
0	+2.1152571192861949e+00	+2.1152571192861949e+00	+0.0000000000000000e+00
0	+3.3096729218449878e+00	+3.3096729218449878e+00	+0.0000000000000000e+00
0	+2.5407010660746439e+00	+2.5407010660746439e+00	+0.0000000000000000e+00
7	+8.9061083921283313e-02	+3.9178205442027547e-01	+6.0544194099798432e-01
10	-2.7937345956412152e-01	+2.2487462276362358e-01	+1.0084961646554902e+00
9	-2.3024192295946655e-01	+2.1165970610862095e-01	+8.8380325813617500e-01
0	+3.0638995598837098e+00	+3.0638995598837098e+00	+0.0000000000000000e+00
30	-4.0673740500450908e+00	-1.3076713764325645e+00	+5.5194053472250530e+00
0	+1.8821148667620782e+00	+1.8821148667620782e+00	+0.0000000000000000e+00
0	+1.4201972892444648e+00	+1.4201972892444648e+00	+0.0000000000000000e+00
15	-1.3741032709955707e+00	-3.5369709226683943e-01	+2.0408123574574626e+00
0	+1.6163621783969084e+00	+1.6163621783969084e+00	+0.0000000000000000e+00
10	-5.5018681407553149e-01	-8.3641550713791091e-03	+1.0836453180083048e+00
9	-4.0172986972628788e-01	+6.9629994427339970e-02	+9.4271972830725570e-01
12	-7.4489228996804435e-01	-3.1236749303549249e-02	+1.4273110813289902e+00
