step	global-lle	local-lle	lle-ratio
0	+3.9136881257340410e+00	+3.9136881257340410e+00	+0.0000000000000000e+00
0	+1.1375671790756225e-01	+1.1375671790756225e-01	+0.0000000000000000e+00
0	-6.8273983585588471e-01	-6.8273983585588471e-01	+0.0000000000000000e+00
2	-5.9451650559780154e+00	-5.0185500198438149e+00	+1.8532300722684010e+00
0	+6.7546772560189527e-01	+6.7546772560189527e-01	+0.0000000000000000e+00
0	+3.8646767482345465e+00	+3.8646767482345465e+00	+0.0000000000000000e+00
0	+3.4435699997867095e+00	+3.4435699997867095e+00	+0.0000000000000000e+00
0	-4.1579392541435913e+00	-4.1579392541435913e+00	+0.0000000000000000e+00
0	+1.5206790828213039e+00	+1.5206790828213039e+00	+0.0000000000000000e+00
0	+3.4998298390335512e+00	+3.4998298390335512e+00	+0.0000000000000000e+00
0	+1.7348240144206328e+00	+1.7348240144206328e+00	+0.0000000000000000e+00
0	-6.6017122429156787e+00	-6.6017122429156787e+00	+0.0000000000000000e+00
1	+1.1997054390643420e+00	+1.7049673757852584e+00	+1.0105238734418327e+00
0	+4.1735042034598369e+00	+4.1735042034598369e+00	+0.0000000000000000e+00
0	+2.7189378267290429e+00	+2.7189378267290429e+00	+0.0000000000000000e+00
1	+9.6032933269847298e-01	+1.7775294083952402e+00	+1.6344001513935345e+00
0	+4.3760128313275359e-01	+4.3760128313275359e-01	+0.0000000000000000e+00
0	+4.4809815749210546e-01	+4.4809815749210546e-01	+0.0000000000000000e+00
0	+3.7814508924241150e+00	+3.7814508924241150e+00	+0.0000000000000000e+00
0	-3.7355349386398293e+00	-3.7355349386398293e+00	+0.0000000000000000e+00
0	+2.4975842254662375e+00	+2.4975842254662375e+00	+0.0000000000000000e+00
0	+2.1531623970993756e+00	+2.1531623970993756e+00	+0.0000000000000000e+00
0	-1.4784613732477414e+00	-1.4784613732477414e+00	+0.0000000000000000e+00
0	+2.0129180405082501e+00	+2.0129180405082501e+00	+0.0000000000000000e+00
1	-5.1830728560138706e-01	+4.4593103503674847e-02	+1.1258007782101238e+00
0	+2.2053496240532589e-01	+2.2053496240532589e-01	+0.0000000000000000e+00
1	+1.9531964959038639e-01	+1.9816221741175166e-01	+5.6851356427305433e-03
1	-6.6456118216719595e-01	+4.4285171235310461e-01	+2.2148257890406011e+00
0	+4.0014911256847565e+00	+4.0014911256847565e+00	+0.0000000000000000e+00
0	+2.8485778809471558e+00	+2.8485778809471558e+00	+0.0000000000000000e+00
0	+2.8472188194344552e+00	+2.8472188194344552e+00	+0.0000000000000000e+00
0	+4.2342008526213792e+00	+4.2342008526213792e+00	+0.0000000000000000e+00
0	+1.2563227738377494e+00	+1.2563227738377494e+00	+0.0000000000000000e+00
3	-1.5148962541346291e+00	+1.2153476460326957e+00	+5.4604878003346498e+00
0	+4.3600946154047353e+00	+4.3600946154047353e+00	+0.0000000000000000e+00
0	+1.5279440272563396e+00	+1.5279440272563396e+00	+0.0000000000000000e+00
0	+3.5233501835759302e+00	+3.5233501835759302e+00	+0.0000000000000000e+00
0	+2.4203023043143470e+00	+2.4203023043143470e+00	+0.0000000000000000e+00
0	+2.3298450713207943e+00	+2.3298450713207943e+00	+0.0000000000000000e+00
0	+4.1329597055997986e+00	+4.1329597055997986e+00	+0.0000000000000000e+00
1	-2.7218060810565703e-01	+2.2741786231610917e-01	+9.9919694084353239e-01
1	-3.0993459350213231e+00	-2.9727047467875574e+00	+2.5328237646753138e-01
0	-3.4542433138813751e+00	-3.4542433138813751e+00	+0.0000000000000000e+00
0	-1.3229373451152968e+00	-1.3229373451152968e+00	+0.0000000000000000e+00
0	-1.3918216474916409e+00	-1.3918216474916409e+00	+0.0000000000000000e+00
0	+3.7740230360100004e+00	+3.7740230360100004e+00	+0.0000000000000000e+00
0	+2.9637680443000334e+00	+2.9637680443000334e+00	+0.0000000000000000e+00
2	+7.2122500278962409e-01	+1.4372990949775635e+00	+1.4321481843758788e+00
1	+2.1379092925735366e+00	+2.2680700399732920e+00	+2.6032149479951094e-01
0	-4.3786758121175762e-01	-4.3786758121175762e-01	+0.0000000000000000e+00
0	+3.1436138844851351e+00	+3.1436138844851351e+00	+0.0000000000000000e+00
0	+3.1252273981843306e+00	+3.1252273981843306e+00	+0.0000000000000000e+00
0	+3.1264389367997043e+00	+3.1264389367997043e+00	+0.0000000000000000e+00
0	-5.1425329302486178e+00	-5.1425329302486178e+00	+0.0000000000000000e+00
0	+3.5854019895823432e+00	+3.5854019895823432e+00	+0.0000000000000000e+00
0	-4.5768265291646992e+00	-4.5768265291646992e+00	+0.0000000000000000e+00
1	-4.8026895882425604e+00	-4.7529654852631067e+00	+9.9448205958907465e-02
