step	global-lle	local-lle	lle-ratio
0	+1.1634346172495202e+00	+1.1634346172495202e+00	+0.0000000000000000e+00
25	-1.9981980138367628e+00	-8.9145662295368089e-01	+2.2134827817661638e+00
4	-1.1147990920757889e-01	-6.5712072662647447e-02	+9.1535673089862879e-02
26	-2.1440285625314499e+00	-9.7352435315673425e-01	+2.3410084187494311e+00
0	+1.1376879949496717e+00	+1.1376879949496717e+00	+0.0000000000000000e+00
0	+9.3699074632313528e-01	+9.3699074632313528e-01	+0.0000000000000000e+00
0	+9.0091136592508991e-01	+9.0091136592508991e-01	+0.0000000000000000e+00
21	-1.6660989691710024e+00	-8.4842681685905796e-01	+1.6353443046238889e+00
0	+8.2697998759014724e-01	+8.2697998759014724e-01	+0.0000000000000000e+00
0	+1.2065811192355353e+00	+1.2065811192355353e+00	+0.0000000000000000e+00
0	+8.7506963382362635e-01	+8.7506963382362635e-01	+0.0000000000000000e+00
43	-3.6083184670365971e+00	-1.2871035805933981e+00	+4.6424297728863984e+00
3	+3.5706363747884939e-02	+6.3599034540811283e-02	+5.5785341585852688e-02
0	+1.0721401671798299e+00	+1.0721401671798299e+00	+0.0000000000000000e+00
0	+6.9096152464263372e-01	+6.9096152464263372e-01	+0.0000000000000000e+00
25	-1.9837366540357042e+00	-9.1869071301127847e-01	+2.1300918820488515e+00
0	+1.0797810249996602e+00	+1.0797810249996602e+00	+0.0000000000000000e+00
0	+9.1803564851186037e-01	+9.1803564851186037e-01	+0.0000000000000000e+00
0	+1.1144213636590119e+00	+1.1144213636590119e+00	+0.0000000000000000e+00
22	-1.8182714191904337e+00	-8.9982431038687327e-01	+1.8368942176071208e+00
0	+8.3980185495003612e-01	+8.3980185495003612e-01	+0.0000000000000000e+00
12	-7.7409740975161778e-01	-4.4145362737040861e-01	+6.6528756476241835e-01
0	+9.5611752768130809e-01	+9.5611752768130809e-01	+0.0000000000000000e+00
0	+2.4706952228418499e-01	+2.4706952228418499e-01	+0.0000000000000000e+00
15	-1.1864208165786723e+00	-6.6473294454938803e-01	+1.0433757440585685e+00
4	-1.5865293652924706e-01	-1.0423076906300954e-01	+1.0884433493247503e-01
26	-2.0826593831305904e+00	-9.3110099357712650e-01	+2.3031167791069276e+00
38	-3.2128725738647730e+00	-1.2444104118873487e+00	+3.9369243239548486e+00
0	+1.0355478599300887e+00	+1.0355478599300887e+00	+0.0000000000000000e+00
0	+4.6689697456808754e-01	+4.6689697456808754e-01	+0.0000000000000000e+00
0	+4.3023016985769935e-01	+4.3023016985769935e-01	+0.0000000000000000e+00
0	+1.2242551981049232e+00	+1.2242551981049232e+00	+0.0000000000000000e+00
0	+3.3923695306016932e-01	+3.3923695306016932e-01	+0.0000000000000000e+00
28	-2.1902110417302283e+00	-9.3920259402067208e-01	+2.5020168954191124e+00
0	+1.2716276478877737e+00	+1.2716276478877737e+00	+0.0000000000000000e+00
5	-2.3139646639239286e-01	-1.5392961336941280e-01	+1.5493370604596013e-01
0	+9.7594774032967302e-01	+9.7594774032967302e-01	+0.0000000000000000e+00
0	+7.1831902264704883e-01	+7.1831902264704883e-01	+0.0000000000000000e+00
0	+4.0203948262674949e-01	+4.0203948262674949e-01	+0.0000000000000000e+00
0	+1.2494056536976761e+00	+1.2494056536976761e+00	+0.0000000000000000e+00
0	+1.2053284769983146e+00	+1.2053284769983146e+00	+0.0000000000000000e+00
16	-1.2183657425797776e+00	-6.7565508405211394e-01	+1.0854213170553273e+00
13	-9.4037019353596518e-01	-5.5822299521865348e-01	+7.6429439663462340e-01
23	-1.8417579186659965e+00	-8.8424778933277559e-01	+1.9150202586664418e+00
23	-1.8739562408491555e+00	-8.9056843800552965e-01	+1.9667756056872516e+00
0	+1.0390155997766766e+00	+1.0390155997766766e+00	+0.0000000000000000e+00
0	+7.4937815070153158e-01	+7.4937815070153158e-01	+0.0000000000000000e+00
0	+1.1779535194486921e+00	+1.1779535194486921e+00	+0.0000000000000000e+00
1	+2.3398264806548519e-01	+2.3637520320058059e-01	+4.7851102701907955e-03
0	+7.2481963204318500e-01	+7.2481963204318500e-01	+0.0000000000000000e+00
0	+3.4746885771573144e-01	+3.4746885771573144e-01	+0.0000000000000000e+00
0	+3.4057565739193318e-01	+3.4057565739193318e-01	+0.0000000000000000e+00
0	+8.2366202541620104e-01	+8.2366202541620104e-01	+0.0000000000000000e+00
